fold,accuracy,f1,precision,recall,roc_auc
1,0.8588588588588588,0.8016877637130801,0.7851239669421488,0.8189655172413793,0.9062053074845067
2,0.8253012048192772,0.7478260869565219,0.7413793103448276,0.7543859649122807,0.9038306776114599
3,0.8975903614457831,0.8547008547008548,0.8333333333333334,0.8771929824561403,0.9635844197650089
4,0.8855421686746988,0.856060606060606,0.8308823529411765,0.8828125,0.9498314950980393
5,0.8825301204819277,0.8458498023715415,0.8770491803278688,0.816793893129771,0.9363867684478371
6,0.8825301204819277,0.8913649025069638,0.8888888888888888,0.8938547486033519,0.9447182970022273
7,0.8674698795180723,0.7864077669902914,0.7941176470588235,0.7788461538461539,0.9595141700404858
8,0.8855421686746988,0.8797468354430381,0.8910256410256411,0.86875,0.9562863372093025
9,0.822289156626506,0.8228228228228228,0.8154761904761905,0.8303030303030303,0.9044093630919978
10,0.8614457831325302,0.8244274809160306,0.8503937007874016,0.8,0.9368302312464749
mean,0.866909982271428,0.8310894922481751,0.83076702121263,0.8321904790492107,0.936159706699734
std,0.025692367716033185,0.043850775918009476,0.04852666416466673,0.047232049333598675,0.02336619590548152
test_set,0.8669527896995708,0.8068535825545172,0.7731343283582089,0.8436482084690554,0.9401667752442997
