fold,accuracy,f1,precision,recall,roc_auc
1,0.8438438438438438,0.773913043478261,0.7807017543859649,0.7672413793103449,0.894446210074686
2,0.8433734939759037,0.7657657657657657,0.7870370370370371,0.7456140350877193,0.9049573474971833
3,0.9066265060240963,0.8634361233480176,0.8672566371681416,0.8596491228070176,0.9641477547078706
4,0.8855421686746988,0.856060606060606,0.8308823529411765,0.8828125,0.9412913602941178
5,0.8674698795180723,0.8267716535433071,0.8536585365853658,0.8015267175572519,0.9260187611560518
6,0.8704819277108434,0.8788732394366197,0.8863636363636364,0.8715083798882681,0.9407017928214116
7,0.8885542168674698,0.8195121951219512,0.8316831683168316,0.8076923076923077,0.9610745614035088
8,0.8795180722891566,0.8701298701298702,0.9054054054054054,0.8375,0.9583212209302325
9,0.822289156626506,0.8184615384615385,0.83125,0.806060606060606,0.9047722736345492
10,0.8614457831325302,0.8230769230769232,0.856,0.7925925925925926,0.9278059785673999
mean,0.8669145048663122,0.829600095842286,0.843023852820356,0.8172197640996106,0.9323537261087012
std,0.025104134466095735,0.03853972728006713,0.039541424019679416,0.0449128627320127,0.025096968800377477
test_set,0.8733905579399142,0.8108974358974359,0.7981072555205048,0.8241042345276873,0.9433954397394136
