fold,accuracy,f1,precision,recall,roc_auc
1,0.8588588588588588,0.8016877637130801,0.7851239669421488,0.8189655172413793,0.908271094867313
2,0.8283132530120482,0.7488986784140969,0.7522123893805309,0.7456140350877193,0.9068083051665862
3,0.9096385542168675,0.8695652173913043,0.8620689655172413,0.8771929824561403,0.9645903750201191
4,0.8885542168674698,0.8593155893536122,0.837037037037037,0.8828125,0.9510569852941178
5,0.8704819277108434,0.831372549019608,0.8548387096774194,0.8091603053435115,0.9356651855227679
6,0.8765060240963856,0.8845070422535212,0.8920454545454546,0.8770949720670391,0.9441705918866615
7,0.8704819277108434,0.7942583732057416,0.7904761904761904,0.7980769230769231,0.9564355600539811
8,0.8825301204819277,0.875399361022364,0.8954248366013072,0.85625,0.9561046511627906
9,0.822289156626506,0.8238805970149253,0.8117647058823529,0.8363636363636363,0.9112320812919614
10,0.8674698795180723,0.828125,0.8760330578512396,0.7851851851851852,0.9372814438804286
mean,0.8675123919099823,0.8317010171388255,0.8357025313910922,0.8286716056821535,0.9371616274146726
std,0.02624251166581143,0.042331119142780614,0.048965100456350205,0.04552249800423224,0.02148758679303643
test_set,0.8669527896995708,0.8050314465408805,0.7781155015197568,0.8338762214983714,0.9415400651465797
