fold,accuracy,f1,precision,recall,roc_auc
1,0.8288288288288288,0.7466666666666666,0.7706422018348624,0.7241379310344828,0.9011004290481488
2,0.8403614457831325,0.7623318385650225,0.7798165137614679,0.7456140350877193,0.9040922259777885
3,0.8975903614457831,0.850877192982456,0.8508771929824561,0.8508771929824561,0.9612506035731531
4,0.8795180722891566,0.8449612403100775,0.8384615384615385,0.8515625,0.9452550551470588
5,0.8614457831325302,0.8188976377952755,0.8455284552845529,0.7938931297709924,0.90344081121112
6,0.8704819277108434,0.878186968838527,0.8908045977011494,0.8659217877094972,0.9321575930185855
7,0.8765060240963856,0.7980295566502463,0.8181818181818182,0.7788461538461539,0.9525556680161944
8,0.8885542168674698,0.8754208754208753,0.948905109489051,0.8125,0.9651162790697674
9,0.8493975903614458,0.8447204968944099,0.8662420382165605,0.8242424242424242,0.9277445109780439
10,0.891566265060241,0.8615384615384615,0.896,0.8296296296296296,0.9520962586952433
mean,0.8684250515575818,0.8281630935662017,0.8505459465913457,0.8077224784303356,0.9344809434735104
std,0.022973616790003246,0.04581503553758529,0.05396885721721484,0.046923130258342126,0.02463108955559199
test_set,0.8969957081545065,0.8461538461538463,0.832807570977918,0.8599348534201955,0.9560807817589576
