fold,accuracy,f1,precision,recall,roc_auc
1,0.8498498498498499,0.788135593220339,0.775,0.8017241379310345,0.9096615286826633
2,0.822289156626506,0.7400881057268723,0.7433628318584071,0.7368421052631579,0.8999275712216321
3,0.9036144578313253,0.8620689655172413,0.847457627118644,0.8771929824561403,0.9584741670690488
4,0.8795180722891566,0.8484848484848485,0.8235294117647058,0.875,0.9461167279411764
5,0.8704819277108434,0.831372549019608,0.8548387096774194,0.8091603053435115,0.9310318635828491
6,0.8614457831325302,0.8700564971751413,0.88,0.8603351955307262,0.9390951911490854
7,0.8704819277108434,0.7881773399014778,0.8080808080808081,0.7692307692307693,0.9551282051282052
8,0.8855421686746988,0.8774193548387097,0.9066666666666666,0.85,0.9554142441860465
9,0.8253012048192772,0.8273809523809524,0.8128654970760234,0.8424242424242424,0.9101070586100526
10,0.8554216867469879,0.8153846153846154,0.848,0.7851851851851852,0.9271291596164694
mean,0.8623946235392019,0.8248568821649807,0.8299801552242675,0.8207094923364767,0.9332085717187228
std,0.02549546526269419,0.04316245113866097,0.048270549640342324,0.047699412750215775,0.021214907651295613
test_set,0.8648068669527897,0.8018867924528302,0.7750759878419453,0.8306188925081434,0.9403100977198697
