fold,accuracy,f1,precision,recall,roc_auc
1,0.8198198198198198,0.7272727272727274,0.7692307692307693,0.6896551724137931,0.889937231844907
2,0.8463855421686747,0.7692307692307692,0.794392523364486,0.7456140350877193,0.8925840978593271
3,0.8975903614457831,0.853448275862069,0.8389830508474576,0.868421052631579,0.9584339288588444
4,0.8734939759036144,0.8384615384615386,0.8257575757575758,0.8515625,0.9319469975490197
5,0.8614457831325302,0.8188976377952755,0.8455284552845529,0.7938931297709924,0.9098021343663362
6,0.8283132530120482,0.8357348703170029,0.8630952380952381,0.8100558659217877,0.9210026654982291
7,0.858433734939759,0.7684729064039408,0.7878787878787878,0.75,0.9351594129554656
8,0.8674698795180723,0.8503401360544217,0.9328358208955224,0.78125,0.9473473837209302
9,0.8283132530120482,0.8178913738019169,0.8648648648648649,0.7757575757575758,0.9225185991653058
10,0.8614457831325302,0.8244274809160306,0.8503937007874016,0.8,0.931265275427712
mean,0.854271138608488,0.8104177716115692,0.8372960787006656,0.7866209331583447,0.9239997727246078
std,0.023891554076181803,0.04158752740406549,0.046956776382733885,0.05192047727586085,0.021937426948652246
test_set,0.8798283261802575,0.8163934426229509,0.8217821782178217,0.8110749185667753,0.9456755700325733
