fold,accuracy,f1,precision,recall,roc_auc
1,0.8588588588588588,0.803347280334728,0.7804878048780488,0.8275862068965517,0.9141903702526617
2,0.822289156626506,0.74235807860262,0.7391304347826086,0.7456140350877193,0.9018590053114438
3,0.891566265060241,0.8448275862068966,0.8305084745762712,0.8596491228070176,0.955255110252696
4,0.8825301204819277,0.853932584269663,0.8201438848920863,0.890625,0.946576286764706
5,0.8765060240963856,0.8404669260700388,0.8571428571428571,0.8244274809160306,0.929170939197144
6,0.8674698795180723,0.8770949720670391,0.8770949720670391,0.8770949720670391,0.9392047321721985
7,0.8825301204819277,0.815165876777251,0.8037383177570093,0.8269230769230769,0.9555499325236168
8,0.8855421686746988,0.8782051282051281,0.9013157894736842,0.85625,0.9548691860465115
9,0.8162650602409639,0.8189910979228486,0.8023255813953488,0.8363636363636363,0.9039375793866812
10,0.858433734939759,0.8212927756653993,0.84375,0.8,0.9283699943598421
mean,0.864199138897934,0.8295682306121615,0.8255638116964953,0.8344533531061071,0.9328983136267504
std,0.0261503610299567,0.039791855279488184,0.0474863302538863,0.04132657233279292,0.02084079392326346
test_set,0.8658798283261803,0.8049921996879875,0.7724550898203593,0.8403908794788274,0.9394293159609121
