fold,accuracy,f1,precision,recall,roc_auc
1,0.8228228228228228,0.7354260089686098,0.7663551401869159,0.7068965517241379,0.8923804226918799
2,0.7951807228915663,0.6964285714285715,0.7090909090909091,0.6842105263157895,0.8936906486399485
3,0.8704819277108434,0.8138528138528138,0.8034188034188035,0.8245614035087719,0.950748430709802
4,0.8795180722891566,0.8473282442748091,0.8283582089552238,0.8671875,0.9439721200980391
5,0.8433734939759037,0.7936507936507937,0.8264462809917356,0.7633587786259542,0.9284493562720747
6,0.8524096385542169,0.8563049853372433,0.9012345679012346,0.8156424581005587,0.9390586774747143
7,0.8825301204819277,0.8097560975609756,0.8217821782178217,0.7980769230769231,0.9486336032388665
8,0.8403614457831325,0.8306709265175718,0.8496732026143791,0.8125,0.9427325581395349
9,0.8012048192771084,0.8012048192771083,0.7964071856287425,0.806060606060606,0.8970785701324624
10,0.8283132530120482,0.7747035573122532,0.8305084745762712,0.725925925925926,0.920210565895845
mean,0.8416196316798727,0.795932681818075,0.8133274951582037,0.7804420673338668,0.9256954953293167
std,0.030522094706275652,0.049498693686688584,0.05084781603548582,0.058346344180989315,0.023446104651562556
test_set,0.8594420600858369,0.7943485086342229,0.7666666666666667,0.8241042345276873,0.9346553745928339
