fold,accuracy,f1,precision,recall,roc_auc
1,0.8198198198198198,0.7321428571428572,0.7592592592592593,0.7068965517241379,0.8979620212935007
2,0.8493975903614458,0.7807017543859649,0.7807017543859649,0.7807017543859649,0.9205697730564945
3,0.9126506024096386,0.8755364806866952,0.8571428571428571,0.8947368421052632,0.9667833574762594
4,0.8825301204819277,0.8528301886792453,0.8248175182481752,0.8828125,0.9427849264705882
5,0.8614457831325302,0.823076923076923,0.8294573643410853,0.816793893129771,0.9310888306558809
6,0.8644578313253012,0.8739495798319328,0.8764044943820225,0.8715083798882681,0.9301310840909921
7,0.8734939759036144,0.7920792079207921,0.8163265306122449,0.7692307692307693,0.9517122132253711
8,0.8795180722891566,0.870967741935484,0.9,0.84375,0.9597383720930233
9,0.8614457831325302,0.863095238095238,0.847953216374269,0.8787878787878788,0.9313191798221738
10,0.9036144578313253,0.8769230769230769,0.912,0.8444444444444444,0.9486369618349314
mean,0.8708374036687291,0.834130304867821,0.8404062994745878,0.8289663013696498,0.9380726720019217
std,0.02650235492899881,0.0503580939973748,0.04876497472594283,0.06048169365949372,0.02023808553293568
test_set,0.8916309012875536,0.842433697347894,0.8083832335329342,0.8794788273615635,0.9552677524429968
