fold,accuracy,f1,precision,recall,roc_auc
1,0.8288288288288288,0.7466666666666666,0.7706422018348624,0.7241379310344828,0.894366756713809
2,0.7951807228915663,0.6964285714285715,0.7090909090909091,0.6842105263157895,0.8918396909705457
3,0.8825301204819277,0.8340425531914893,0.8099173553719008,0.8596491228070176,0.9496619990342829
4,0.8795180722891566,0.8473282442748091,0.8283582089552238,0.8671875,0.9434359681372548
5,0.8614457831325302,0.821705426356589,0.8346456692913385,0.8091603053435115,0.9279176635904447
6,0.8463855421686747,0.853868194842407,0.8764705882352941,0.8324022346368715,0.9382553766385512
7,0.8855421686746988,0.819047619047619,0.8113207547169812,0.8269230769230769,0.9490131578947368
8,0.8403614457831325,0.8328075709779179,0.8407643312101911,0.825,0.9441497093023257
9,0.8042168674698795,0.8048048048048048,0.7976190476190477,0.8121212121212121,0.8989294138994738
10,0.8433734939759037,0.7999999999999999,0.832,0.7703703703703704,0.9172024816694867
mean,0.8467383045696298,0.8056699651590875,0.8110829066325749,0.8011162279552332,0.9254772217850912
std,0.031476153117458876,0.048858072173521304,0.045543885146078336,0.058433704974044626,0.023218433867178086
test_set,0.8583690987124464,0.794392523364486,0.7611940298507462,0.8306188925081434,0.9348638436482085
