fold,accuracy,f1,precision,recall,roc_auc
1,0.8018018018018018,0.7079646017699116,0.7272727272727273,0.6896551724137931,0.8578380740505324
2,0.7951807228915663,0.6964285714285715,0.7090909090909091,0.6842105263157895,0.8520843392885885
3,0.8674698795180723,0.8103448275862069,0.7966101694915254,0.8245614035087719,0.9220183486238532
4,0.8192771084337349,0.7727272727272727,0.75,0.796875,0.9052542892156864
5,0.8162650602409639,0.7662835249042146,0.7692307692307693,0.7633587786259542,0.8793437393186738
6,0.8042168674698795,0.8169014084507041,0.8238636363636364,0.8100558659217877,0.8738087413736444
7,0.8283132530120482,0.7219512195121952,0.7326732673267327,0.7115384615384616,0.9076838731443995
8,0.8072289156626506,0.7866666666666667,0.8428571428571429,0.7375,0.904251453488372
9,0.8132530120481928,0.8098159509202455,0.8198757763975155,0.8,0.8893122845218653
10,0.7951807228915663,0.7536231884057971,0.7375886524822695,0.7703703703703704,0.8842263583380334
mean,0.8148187343970477,0.7642707232371786,0.7709063050513228,0.7588125578694929,0.887582150136365
std,0.021316175433244433,0.043743659901828956,0.04687672274383091,0.05086525309096161,0.022599751106194704
test_set,0.8208154506437768,0.7336523125996811,0.71875,0.749185667752443,0.9047114006514659
