fold,accuracy,f1,precision,recall,roc_auc
1,0.8018018018018018,0.725,0.7016129032258065,0.75,0.8638368027967583
2,0.786144578313253,0.6872246696035241,0.6902654867256637,0.6842105263157895,0.830556896829229
3,0.8614457831325302,0.8050847457627118,0.7786885245901639,0.8333333333333334,0.9170690487687109
4,0.8072289156626506,0.7575757575757576,0.7352941176470589,0.78125,0.8923100490196078
5,0.7951807228915663,0.7364341085271318,0.7480314960629921,0.7251908396946565,0.8606205613155596
6,0.8072289156626506,0.8171428571428572,0.8362573099415205,0.7988826815642458,0.8649724321758498
7,0.8373493975903614,0.7378640776699028,0.7450980392156863,0.7307692307692307,0.904942645074224
8,0.7891566265060241,0.7635135135135136,0.8308823529411765,0.70625,0.8829941860465116
9,0.786144578313253,0.778816199376947,0.8012820512820513,0.7575757575757576,0.8792959535474506
10,0.8162650602409639,0.769811320754717,0.7846153846153846,0.7555555555555555,0.8856175972927243
mean,0.8087946380115054,0.7578467249927063,0.7652027666247505,0.7523017924808569,0.8782216172866626
std,0.02425367762744018,0.03842265912118411,0.04997314044956244,0.04418827343612642,0.024640614260654763
test_set,0.8068669527896996,0.7133757961783439,0.6978193146417445,0.7296416938110749,0.8975452768729641
