fold,accuracy,f1,precision,recall,roc_auc
1,0.8048048048048048,0.7136563876651983,0.7297297297297297,0.6982758620689655,0.8684053710471954
2,0.8042168674698795,0.7085201793721974,0.7247706422018348,0.6929824561403509,0.8568324480927089
3,0.858433734939759,0.7911111111111111,0.8018018018018018,0.7807017543859649,0.9279333655239015
4,0.822289156626506,0.7722007722007723,0.7633587786259542,0.78125,0.9094286151960784
5,0.8012048192771084,0.7461538461538462,0.751937984496124,0.7404580152671756,0.8812426417530667
6,0.8072289156626506,0.8202247191011236,0.8248587570621468,0.8156424581005587,0.8758900208127943
7,0.8313253012048193,0.7307692307692306,0.7307692307692307,0.7307692307692307,0.9104672739541161
8,0.8072289156626506,0.782312925170068,0.8582089552238806,0.71875,0.9026526162790698
9,0.8042168674698795,0.7962382445141065,0.8246753246753247,0.7696969696969697,0.8861549628016693
10,0.8072289156626506,0.762962962962963,0.762962962962963,0.762962962962963,0.8846399699191577
mean,0.8148178298780708,0.7624150379020617,0.777307416754899,0.7491489709392178,0.8903647285379759
std,0.017993131099709708,0.03704256577668516,0.04700280155073807,0.03963819742734623,0.021806702868476108
test_set,0.8197424892703863,0.7324840764331211,0.7165109034267912,0.749185667752443,0.9011205211726385
