fold,accuracy,f1,precision,recall,roc_auc
1,0.8018018018018018,0.7053571428571428,0.7314814814814815,0.6810344827586207,0.8693985380581598
2,0.7891566265060241,0.6902654867256636,0.6964285714285714,0.6842105263157895,0.8556051826814742
3,0.8704819277108434,0.8138528138528138,0.8034188034188035,0.8245614035087719,0.917773217447288
4,0.8162650602409639,0.7680608365019012,0.7481481481481481,0.7890625,0.8966758578431373
5,0.8253012048192772,0.7716535433070866,0.7967479674796748,0.7480916030534351,0.8726406137252668
6,0.7891566265060241,0.803370786516854,0.807909604519774,0.7988826815642458,0.8810201920619273
7,0.8313253012048193,0.7333333333333334,0.7264150943396226,0.7403846153846154,0.9023068488529015
8,0.8132530120481928,0.7891156462585034,0.8656716417910447,0.725,0.8971838662790698
9,0.7921686746987951,0.7823343848580441,0.8157894736842105,0.7515151515151515,0.8828706223915805
10,0.8042168674698795,0.7636363636363638,0.75,0.7777777777777778,0.8835495393871028
mean,0.813312710300662,0.7620980337847706,0.7742010786291331,0.7520520741878408,0.8859024478727908
std,0.02488764791046824,0.04063050224761945,0.051657241537696214,0.04715480876885395,0.01805218120562278
test_set,0.8272532188841202,0.7432216905901118,0.728125,0.758957654723127,0.9106475570032573
