fold,accuracy,f1,precision,recall,roc_auc
1,0.7897897897897898,0.7008547008547009,0.6949152542372882,0.7068965517241379,0.8686834578102653
2,0.7831325301204819,0.6785714285714286,0.6909090909090909,0.6666666666666666,0.8509174311926605
3,0.8734939759036144,0.8141592920353982,0.8214285714285714,0.8070175438596491,0.9212538226299695
4,0.8132530120481928,0.7615384615384615,0.75,0.7734375,0.9023054534313726
5,0.8072289156626506,0.7593984962406015,0.7481481481481481,0.7709923664122137,0.8797614978542402
6,0.7981927710843374,0.8112676056338028,0.8181818181818182,0.8044692737430168,0.866432979150692
7,0.8283132530120482,0.7246376811594203,0.7281553398058253,0.7211538461538461,0.9079369095816464
8,0.8072289156626506,0.785234899328859,0.8478260869565217,0.73125,0.8997456395348837
9,0.8012048192771084,0.7950310559006212,0.8152866242038217,0.7757575757575758,0.883179096352749
10,0.8162650602409639,0.769811320754717,0.7846153846153846,0.7555555555555555,0.8870464373002445
mean,0.8118103042801839,0.760050494201801,0.769946631848647,0.7513196879872661,0.8867262724838725
std,0.02526824637358215,0.04583037416083857,0.055587083485974506,0.04456058781248099,0.02143487480853182
test_set,0.8175965665236051,0.724025974025974,0.7216828478964401,0.7263843648208469,0.9030228013029316
