fold,accuracy,f1,precision,recall,roc_auc
1,0.8108108108108109,0.7174887892376681,0.7476635514018691,0.6896551724137931,0.8643731129826792
2,0.7801204819277109,0.669683257918552,0.6915887850467289,0.6491228070175439,0.8438958635119911
3,0.8493975903614458,0.7826086956521741,0.7758620689655172,0.7894736842105263,0.9248752615483663
4,0.8253012048192772,0.7769230769230769,0.7651515151515151,0.7890625,0.8930568321078431
5,0.8283132530120482,0.7782101167315175,0.7936507936507936,0.7633587786259542,0.879001936880483
6,0.8042168674698795,0.8169014084507041,0.8238636363636364,0.8100558659217877,0.8748128674188483
7,0.8253012048192772,0.7238095238095238,0.7169811320754716,0.7307692307692307,0.9031292172739541
8,0.8373493975903614,0.8200000000000001,0.8785714285714286,0.76875,0.8871366279069768
9,0.8042168674698795,0.7987616099071208,0.8164556962025317,0.7818181818181819,0.8922881509707857
10,0.8042168674698795,0.7565543071161048,0.7651515151515151,0.7481481481481481,0.8805414551607446
mean,0.8169244545750569,0.7640940785746443,0.7774940122581008,0.7520214368925167,0.8843111325762673
std,0.020050172670178903,0.04782806033950541,0.05414440708032098,0.04987013122258763,0.02188659164416874
test_set,0.8293991416309013,0.7414634146341463,0.7402597402597403,0.742671009771987,0.9078228013029318
