fold,accuracy,f1,precision,recall,roc_auc
1,0.8018018018018018,0.7105263157894737,0.7232142857142857,0.6982758620689655,0.8623271889400922
2,0.7710843373493976,0.663716814159292,0.6696428571428571,0.6578947368421053,0.8478593272171253
3,0.8765060240963856,0.8240343347639484,0.8067226890756303,0.8421052631578947,0.9171495251891195
4,0.7951807228915663,0.7424242424242423,0.7205882352941176,0.765625,0.888671875
5,0.8102409638554217,0.7604562737642585,0.7575757575757576,0.7633587786259542,0.8700770954388364
6,0.7891566265060241,0.803370786516854,0.807909604519774,0.7988826815642458,0.8634023441778946
7,0.8192771084337349,0.7058823529411765,0.72,0.6923076923076923,0.9024966261808368
8,0.8012048192771084,0.777027027027027,0.8455882352941176,0.71875,0.8962936046511627
9,0.8102409638554217,0.804953560371517,0.8227848101265823,0.7878787878787878,0.8828887679187081
10,0.7951807228915663,0.75,0.7445255474452555,0.7555555555555555,0.8812558751645048
mean,0.8069874090958427,0.7542391707757788,0.7618552022188377,0.7480634358001201,0.881242222987828
std,0.027791161051721802,0.05057032982336208,0.05639880357439855,0.05596366720404494,0.02092488341732424
test_set,0.8165236051502146,0.7237479806138934,0.717948717948718,0.7296416938110749,0.9029498371335505
