Feature,Importance
original_shape_Maximum2DDiameterSlice,0.01682141340033854
original_shape_MeshVolume,0.01493191956702105
original_shape_MinorAxisLength,0.026197349642309162
original_shape_SurfaceArea,0.021792840517528663
original_shape_VoxelVolume,0.01489290513270134
original_firstorder_Minimum,0.011027373267264278
original_glcm_Imc1,0.038386455773069865
original_glcm_Imc2,0.034798641964091465
original_glcm_MCC,0.012167139591481897
original_gldm_GrayLevelNonUniformity,0.02813990203177208
original_glrlm_GrayLevelNonUniformity,0.035694829888568556
original_glszm_GrayLevelNonUniformity,0.03193581144613743
original_ngtdm_Strength,0.010700806691160887
subtlety,0.03676143679067235
lobulation,0.019745310028283326
spiculation,0.018775892321522072
diameter,0.032244278835881525
surface_area,0.03140209047194755
volume,0.014203392276187037
fourier_hist_bin_9,0.020641022024377734
calcification_6,0.018801863478315705
